Name,Address,City,State,Code,Website
Big Ridge Brewing,15133 Highway 10,Surrey,BC,0,?
Big River Brewing,180 - 14200 Entertainment Boulevard,Richmond,BC,0,?
Central City Brewing Company,13450 - 102 Avenue,Surrey,BC,?,?
Dix Barbecue & Brewery,871 Beatty Street,Vancouver,BC,0,?
Dockside Brewing,1253 Johnston Street,Vancouver,BC,0,?
Granville Island Brewing,1125 Richter Street,Kelowna,BC,?,?
Granville Island Brewing Company,1441 Cartwright Street,Vancouver,BC,0,?
Lighthouse Brewing,2 - 836 Devonshire Road,Victoria,BC,0,?
Marine Pub & Brewhouse,5820 Marine Drive,Burnaby,BC,0,?
Mission Springs Brewing,7160 Oliver Street,Mission,BC,0,?
Nelson Brewing,512 Latimer Street,Nelson,BC,0,?
Okanagan Spring Brewery,2801 - 27A Avenue,Vernon,BC,0,?
R&B; Brewing,54 East Fourth Avenue,Vancouver,BC,0,?
Russell Brewing,202 - 13018 80th Avenue,Surrey,BC,0,?
Shaftebury Brewing,?,Delta,BC,?,?
Steamworks,375 Water Street,Vancouver,BC,V6B 5C6,?
Storm Brewing,310 Commercial Drive,Vancouver,BC,V5L 3V6,?
Taylor's Crossing Brewing,1025 Marine Drive,North Vancouver,BC,0,?
Tin Whistle Brewing,954 West Eckhardt Avenue,Penticton,BC,0,?
Vancouver Island Brewing,2330 Government Street,Victoria,BC,0,?
Yaletown Brewing,1111 Mainland Street,Vancouver,BC,0,?
